text,label
field src original src value 192.168.1.50 context linux syslog authentication,source_ip
field src original src value 172.16.10.9 context nginx access log,source_ip
field src original src value 10.0.0.5 context spring boot application error,source_ip
field src original src value 192.168.1.50 context database audit log,source_ip
field src original src value 192.168.1.50 context ids ips alert,source_ip
field src_ip original src_ip value 2001:db8::1 context linux syslog authentication,source_ip
field src_ip original src_ip value 192.168.1.50 context windows event security audit,source_ip
field src_ip original src_ip value 10.0.0.5 context nginx access log,source_ip
field src_ip original src_ip value 192.168.1.50 context vpn authentication,source_ip
field src_ip original src_ip value 10.0.0.5 context docker container event,source_ip
field source_ip original source_ip value 2001:db8::1 context nginx access log,source_ip
field source_ip original source_ip value 2001:db8::1 context ids ips alert,source_ip
field source_ip original source_ip value 172.16.10.9 context kubernetes pod log,source_ip
field source_ip original source_ip value 192.168.1.50 context kubernetes pod log,source_ip
field source_ip original source_ip value 10.0.0.5 context docker container event,source_ip
field source original source value 2001:db8::1 context fortigate firewall traffic,source_ip
field source original source value 172.16.10.9 context spring boot application error,source_ip
field source original source value 10.0.0.5 context kubernetes pod log,source_ip
field source original source value 172.16.10.9 context windows event security audit,source_ip
field source original source value 192.168.1.50 context palo alto firewall threat,source_ip
field client_ip original client_ip value 192.168.1.50 context fortigate firewall traffic,source_ip
field client_ip original client_ip value 172.16.10.9 context ids ips alert,source_ip
field client_ip original client_ip value 172.16.10.9 context kubernetes pod log,source_ip
field client_ip original client_ip value 192.168.1.50 context docker container event,source_ip
field client_ip original client_ip value 2001:db8::1 context vpn authentication,source_ip
field clientaddr original clientaddr value 192.168.1.50 context cloud gateway event,source_ip
field clientaddr original clientaddr value 2001:db8::1 context windows event security audit,source_ip
field clientaddr original clientaddr value 172.16.10.9 context custom vendor security event,source_ip
field clientaddr original clientaddr value 172.16.10.9 context ids ips alert,source_ip
field clientaddr original clientaddr value 10.0.0.5 context docker container event,source_ip
field remote_ip original remote_ip value 192.168.1.50 context linux syslog authentication,source_ip
field remote_ip original remote_ip value 10.0.0.5 context kubernetes pod log,source_ip
field remote_ip original remote_ip value 172.16.10.9 context windows event security audit,source_ip
field remote_ip original remote_ip value 10.0.0.5 context custom vendor security event,source_ip
field remote_ip original remote_ip value 192.168.1.50 context palo alto firewall threat,source_ip
field remote_addr original remote_addr value 172.16.10.9 context cisco asa connection,source_ip
field remote_addr original remote_addr value 172.16.10.9 context spring boot application error,source_ip
field remote_addr original remote_addr value 172.16.10.9 context fortigate firewall traffic,source_ip
field remote_addr original remote_addr value 10.0.0.5 context database audit log,source_ip
field remote_addr original remote_addr value 172.16.10.9 context docker container event,source_ip
field peer_ip original peer_ip value 192.168.1.50 context ids ips alert,source_ip
field peer_ip original peer_ip value 10.0.0.5 context vpn authentication,source_ip
field peer_ip original peer_ip value 10.0.0.5 context spring boot application error,source_ip
field peer_ip original peer_ip value 2001:db8::1 context palo alto firewall threat,source_ip
field peer_ip original peer_ip value 172.16.10.9 context cloud gateway event,source_ip
field origin_ip original origin_ip value 10.0.0.5 context database audit log,source_ip
field origin_ip original origin_ip value 172.16.10.9 context custom vendor security event,source_ip
field origin_ip original origin_ip value 192.168.1.50 context nginx access log,source_ip
field origin_ip original origin_ip value 192.168.1.50 context kubernetes pod log,source_ip
field origin_ip original origin_ip value 172.16.10.9 context palo alto firewall threat,source_ip
field ip_src original ip_src value 172.16.10.9 context windows event security audit,source_ip
field ip_src original ip_src value 10.0.0.5 context cloud gateway event,source_ip
field ip_src original ip_src value 172.16.10.9 context nginx access log,source_ip
field ip_src original ip_src value 2001:db8::1 context palo alto firewall threat,source_ip
field ip_src original ip_src value 2001:db8::1 context spring boot application error,source_ip
field sourceAddress original sourceAddress value 172.16.10.9 context spring boot application error,source_ip
field sourceAddress original sourceAddress value 10.0.0.5 context docker container event,source_ip
field sourceAddress original sourceAddress value 172.16.10.9 context docker container event,source_ip
field sourceAddress original sourceAddress value 2001:db8::1 context cloud gateway event,source_ip
field sourceAddress original sourceAddress value 2001:db8::1 context fortigate firewall traffic,source_ip
field clientAddress original clientAddress value 10.0.0.5 context spring boot application error,source_ip
field clientAddress original clientAddress value 2001:db8::1 context windows event security audit,source_ip
field clientAddress original clientAddress value 192.168.1.50 context custom vendor security event,source_ip
field clientAddress original clientAddress value 192.168.1.50 context spring boot application error,source_ip
field clientAddress original clientAddress value 10.0.0.5 context kubernetes pod log,source_ip
field sender_ip original sender_ip value 2001:db8::1 context ids ips alert,source_ip
field sender_ip original sender_ip value 192.168.1.50 context palo alto firewall threat,source_ip
field sender_ip original sender_ip value 2001:db8::1 context ids ips alert,source_ip
field sender_ip original sender_ip value 2001:db8::1 context vpn authentication,source_ip
field sender_ip original sender_ip value 172.16.10.9 context vpn authentication,source_ip
field from_ip original from_ip value 192.168.1.50 context database audit log,source_ip
field from_ip original from_ip value 192.168.1.50 context database audit log,source_ip
field from_ip original from_ip value 172.16.10.9 context kubernetes pod log,source_ip
field from_ip original from_ip value 172.16.10.9 context windows event security audit,source_ip
field from_ip original from_ip value 172.16.10.9 context palo alto firewall threat,source_ip
field dst original dst value 192.168.50.8 context cisco asa connection,destination_ip
field dst original dst value 10.20.30.40 context docker container event,destination_ip
field dst original dst value 172.20.1.10 context vpn authentication,destination_ip
field dst original dst value 192.168.50.8 context vpn authentication,destination_ip
field dst original dst value 10.20.30.40 context custom vendor security event,destination_ip
field dst_ip original dst_ip value 172.20.1.10 context custom vendor security event,destination_ip
field dst_ip original dst_ip value 192.168.50.8 context spring boot application error,destination_ip
field dst_ip original dst_ip value 172.20.1.10 context kubernetes pod log,destination_ip
field dst_ip original dst_ip value 192.168.50.8 context vpn authentication,destination_ip
field dst_ip original dst_ip value 10.20.30.40 context ids ips alert,destination_ip
field destination_ip original destination_ip value 172.20.1.10 context cisco asa connection,destination_ip
field destination_ip original destination_ip value 10.20.30.40 context windows event security audit,destination_ip
field destination_ip original destination_ip value 172.20.1.10 context cloud gateway event,destination_ip
field destination_ip original destination_ip value 172.20.1.10 context nginx access log,destination_ip
field destination_ip original destination_ip value 10.20.30.40 context nginx access log,destination_ip
field dest_ip original dest_ip value 10.20.30.40 context windows event security audit,destination_ip
field dest_ip original dest_ip value 2001:db8::5 context custom vendor security event,destination_ip
field dest_ip original dest_ip value 10.20.30.40 context kubernetes pod log,destination_ip
field dest_ip original dest_ip value 192.168.50.8 context spring boot application error,destination_ip
field dest_ip original dest_ip value 2001:db8::5 context vpn authentication,destination_ip
field target_ip original target_ip value 192.168.50.8 context apache web server,destination_ip
field target_ip original target_ip value 2001:db8::5 context nginx access log,destination_ip
field target_ip original target_ip value 192.168.50.8 context docker container event,destination_ip
field target_ip original target_ip value 172.20.1.10 context palo alto firewall threat,destination_ip
field target_ip original target_ip value 172.20.1.10 context cisco asa connection,destination_ip
field server_ip original server_ip value 2001:db8::5 context windows event security audit,destination_ip
field server_ip original server_ip value 192.168.50.8 context nginx access log,destination_ip
field server_ip original server_ip value 10.20.30.40 context fortigate firewall traffic,destination_ip
field server_ip original server_ip value 10.20.30.40 context ids ips alert,destination_ip
field server_ip original server_ip value 192.168.50.8 context ids ips alert,destination_ip
field remote_host_ip original remote_host_ip value 192.168.50.8 context linux syslog authentication,destination_ip
field remote_host_ip original remote_host_ip value 10.20.30.40 context docker container event,destination_ip
field remote_host_ip original remote_host_ip value 10.20.30.40 context nginx access log,destination_ip
field remote_host_ip original remote_host_ip value 10.20.30.40 context cloud gateway event,destination_ip
field remote_host_ip original remote_host_ip value 10.20.30.40 context custom vendor security event,destination_ip
field ip_dst original ip_dst value 172.20.1.10 context windows event security audit,destination_ip
field ip_dst original ip_dst value 192.168.50.8 context apache web server,destination_ip
field ip_dst original ip_dst value 2001:db8::5 context nginx access log,destination_ip
field ip_dst original ip_dst value 192.168.50.8 context docker container event,destination_ip
field ip_dst original ip_dst value 2001:db8::5 context nginx access log,destination_ip
field destinationAddress original destinationAddress value 2001:db8::5 context kubernetes pod log,destination_ip
field destinationAddress original destinationAddress value 2001:db8::5 context nginx access log,destination_ip
field destinationAddress original destinationAddress value 10.20.30.40 context windows event security audit,destination_ip
field destinationAddress original destinationAddress value 2001:db8::5 context fortigate firewall traffic,destination_ip
field destinationAddress original destinationAddress value 2001:db8::5 context palo alto firewall threat,destination_ip
field serverAddress original serverAddress value 2001:db8::5 context custom vendor security event,destination_ip
field serverAddress original serverAddress value 10.20.30.40 context database audit log,destination_ip
field serverAddress original serverAddress value 10.20.30.40 context linux syslog authentication,destination_ip
field serverAddress original serverAddress value 2001:db8::5 context docker container event,destination_ip
field serverAddress original serverAddress value 172.20.1.10 context kubernetes pod log,destination_ip
field to_ip original to_ip value 10.20.30.40 context nginx access log,destination_ip
field to_ip original to_ip value 192.168.50.8 context nginx access log,destination_ip
field to_ip original to_ip value 2001:db8::5 context spring boot application error,destination_ip
field to_ip original to_ip value 2001:db8::5 context spring boot application error,destination_ip
field to_ip original to_ip value 172.20.1.10 context cisco asa connection,destination_ip
field user original user value om context custom vendor security event,username
field user original user value admin context cisco asa connection,username
field user original user value DOMAIN\\jdoe context windows event security audit,username
field user original user value admin context database audit log,username
field user original user value DOMAIN\\jdoe context custom vendor security event,username
field usr original usr value admin context windows event security audit,username
field usr original usr value om context spring boot application error,username
field usr original usr value svc_api context cisco asa connection,username
field usr original usr value svc_api context nginx access log,username
field usr original usr value svc_api context cloud gateway event,username
field username original username value admin context spring boot application error,username
field username original username value svc_api context linux syslog authentication,username
field username original username value svc_api context apache web server,username
field username original username value svc_api context apache web server,username
field username original username value svc_api context docker container event,username
field account original account value DOMAIN\\jdoe context database audit log,username
field account original account value svc_api context spring boot application error,username
field account original account value om context apache web server,username
field account original account value om context linux syslog authentication,username
field account original account value DOMAIN\\jdoe context docker container event,username
field account_name original account_name value DOMAIN\\jdoe context linux syslog authentication,username
field account_name original account_name value root context linux syslog authentication,username
field account_name original account_name value admin context ids ips alert,username
field account_name original account_name value svc_api context vpn authentication,username
field account_name original account_name value DOMAIN\\jdoe context spring boot application error,username
field login original login value admin context vpn authentication,username
field login original login value admin context custom vendor security event,username
field login original login value om context windows event security audit,username
field login original login value DOMAIN\\jdoe context windows event security audit,username
field login original login value om context palo alto firewall threat,username
field login_user original login_user value admin context cloud gateway event,username
field login_user original login_user value DOMAIN\\jdoe context nginx access log,username
field login_user original login_user value DOMAIN\\jdoe context ids ips alert,username
field login_user original login_user value admin context ids ips alert,username
field login_user original login_user value admin context palo alto firewall threat,username
field principal original principal value DOMAIN\\jdoe context ids ips alert,username
field principal original principal value DOMAIN\\jdoe context fortigate firewall traffic,username
field principal original principal value root context nginx access log,username
field principal original principal value root context nginx access log,username
field principal original principal value root context palo alto firewall threat,username
field uid original uid value om context database audit log,username
field uid original uid value root context cisco asa connection,username
field uid original uid value root context cloud gateway event,username
field uid original uid value admin context linux syslog authentication,username
field uid original uid value svc_api context ids ips alert,username
field user_name original user_name value DOMAIN\\jdoe context windows event security audit,username
field user_name original user_name value admin context vpn authentication,username
field user_name original user_name value om context vpn authentication,username
field user_name original user_name value root context spring boot application error,username
field user_name original user_name value root context cloud gateway event,username
field subject original subject value admin context cloud gateway event,username
field subject original subject value om context fortigate firewall traffic,username
field subject original subject value root context spring boot application error,username
field subject original subject value svc_api context custom vendor security event,username
field subject original subject value DOMAIN\\jdoe context docker container event,username
field actor original actor value root context ids ips alert,username
field actor original actor value DOMAIN\\jdoe context linux syslog authentication,username
field actor original actor value DOMAIN\\jdoe context apache web server,username
field actor original actor value admin context cloud gateway event,username
field actor original actor value om context apache web server,username
field action original action value LOGIN_FAILED context cloud gateway event,action
field action original action value LOGIN_FAILED context docker container event,action
field action original action value AUTH_SUCCESS context spring boot application error,action
field action original action value ALLOW context apache web server,action
field action original action value AUTH_SUCCESS context nginx access log,action
field event_action original event_action value DELETE context fortigate firewall traffic,action
field event_action original event_action value BLOCK context database audit log,action
field event_action original event_action value DELETE context custom vendor security event,action
field event_action original event_action value ALLOW context vpn authentication,action
field event_action original event_action value CONNECT context apache web server,action
field operation original operation value LOGIN_FAILED context windows event security audit,action
field operation original operation value DELETE context palo alto firewall threat,action
field operation original operation value ALLOW context linux syslog authentication,action
field operation original operation value LOGIN_FAILED context fortigate firewall traffic,action
